"CCT","longitud","latitud","tipo","gob","nombre","alcaldia","cp"
"09DPR2703S","-99.06521667","19.45416389","Primaria","Federal","Diego Rivera Barrientos","Gustavo A. Madero","7920"
"09DPR2706P","-99.16844722","19.266075","Primaria","Federal","Profr. Rafael Cruz Manjarrez","Tlalpan","14650"
"09DPR2710B","-99.09323056","19.41629444","Primaria","Federal","Francisco de P. Miranda","Venustiano Carranza","15010"
"09DPR2713Z","-99.16844722","19.266075","Primaria","Federal","Profr. Rafael Cruz Manjarrez","Tlalpan","14650"
"09DPR2716W","-99.16196944","19.35173333","Primaria","Federal","Constituyente Ing. Julian Adame Alatorre","Coyoacán","4100"
"09DPR2719T","-99.22205833","19.37792222","Primaria","Federal","Republica de Camerun","Álvaro Obregón","1290"
"09DPR2720I","-99.09308333","19.24390556","Primaria","Federal","Carlos Garcia","Xochimilco","16450"
"09DPR2721H","-98.99442778","19.24350833","Primaria","Federal","Francisco Hernandez de Cordoba","Tláhuac","13500"
"09DPR2723F","-99.10585556","19.25628889","Primaria","Federal","Xochimilco","Xochimilco","16090"
"09DPR2724E","-99.02745278","19.37053889","Primaria","Federal","Profra. Paula Alegria Garza","Iztapalapa","9230"
"09DPR2726C","-99.16319167","19.32963056","Primaria","Federal","Profr. Samuel Delgado I. Moya","Coyoacán","4369"
"09DPR2728A","-99.04891389","19.38663611","Primaria","Federal","Jose Dolores Medina Delgado","Iztapalapa","9220"
"09DPR2729Z","-99.16319167","19.32963056","Primaria","Federal","Profr. Samuel Delgado I. Moya","Coyoacán","4369"
"09DPR2731O","-99.12861667","19.47538611","Primaria","Federal","Profr. Jesus Romero Flores","Gustavo A. Madero","7800"
"09DPR2732N","-99.11485833","19.44742778","Primaria","Federal","Expropiacion Petrolera","Venustiano Carranza","15240"
"09DPR2733M","-99.06315556","19.45090556","Primaria","Federal","Coronel Silvestre Lopez","Gustavo A. Madero","7920"
"09DPR2734L","-99.10483889","19.38313333","Primaria","Federal","David Alfaro Siqueiros","Iztacalco","8900"
"09DPR2735K","-99.08513611","19.49048889","Primaria","Federal","Ramon Lopez Velarde","Gustavo A. Madero","7530"
"09DPR2737I","-99.10585556","19.25628889","Primaria","Federal","Xochimilco","Xochimilco","16090"
"09DPR2738H","-99.04636667","19.29240833","Primaria","Federal","Salvador Hermoso Najera","Tláhuac","13200"
"09DPR2739G","-99.06808056","19.41245","Primaria","Federal","Estado de Oaxaca","Iztacalco","8100"
"09DPR2743T","-99.02265556","19.34263889","Primaria","Federal","Andres Molina Enriquez","Iztapalapa","9660"
"09DPR2745R","-99.06228333","19.29597778","Primaria","Federal","Tláhuac","Tláhuac","13230"
"09DPR2746Q","-99.10424722","19.37585","Primaria","Federal","Federico Berrueto Ramon","Iztapalapa","9410"
